Plasmid_79	Plasmid_79_noise	Plasmid_79_expression	Plasmid_79_mixture
0.997	0.9949533460164682	0.0021235131159879845	0.9970768591324563
0.001	0.0004407450978985348	0.0005615692964938745	0.0010023143943924094
0.000625	5.816735776235653e-6	0.00033641862841908565	0.00034223536419532134
0.000125	9.06044622096327e-8	0.00023932033579530742	0.00023941094025751707
0.00025	1.5183919509751206e-9	0.00018364742655576513	0.0001836489449477161
0.00025	2.6518352883578806e-11	0.000147091993181382	0.00014709201969973488
0	4.755850880530239e-13	0.00012110502540224578	0.00012110502587783083
0	8.688301859085895e-15	0.00010164506364268577	0.00010164506365137405
0	1.6089853252283777e-16	8.653058447950172e-5	8.65305844796626e-5
0	3.010946390907063e-18	7.447039504393169e-5	7.44703950439347e-5
0.000125	5.681216047515422e-20	6.464655323864255e-5	6.464655323864258e-5
0.000125	1.0791665308793074e-21	5.6513142900173966e-5	5.651314290017397e-5
0	2.0613019324655438e-23	4.969041682563089e-5	4.969041682563089e-5
0	3.955648192010936e-25	4.390520226052858e-5	4.390520226052859e-5
0	7.621108075641284e-27	3.895546467858985e-5	3.8955464678589866e-5
0	1.4733499153029373e-28	3.468826417308481e-5	3.46882641730848e-5
0	2.8568640062144936e-30	3.0985513402758575e-5	3.098551340275858e-5
0	5.55408248185535e-32	2.775447405992043e-5	2.7754474059920438e-5
0	1.0822912674263232e-33	2.4921236165646254e-5	2.4921236165646254e-5
0.000125	2.113372455118021e-35	2.2426134024301604e-5	2.24261340243016e-5
0	4.134430496663149e-37	2.0220454092592005e-5	2.0220454092592002e-5
0.000125	8.101851650494916e-39	1.8264025495485717e-5	1.8264025495485707e-5
0.000125	1.5900616490257407e-40	1.6523426516933718e-5	1.6523426516933714e-5
0	3.1249703307782164e-42	1.4970629211909186e-5	1.4970629211909186e-5
0	6.149343652740316e-44	1.3581961018545117e-5	1.3581961018545119e-5
0	1.2114835076342345e-45	1.2337299315171727e-5	1.2337299315171727e-5
0	2.389309256667017e-47	1.1219439584083446e-5	1.1219439584083444e-5
0	4.716915314606949e-49	1.0213594634909585e-5	1.0213594634909587e-5
0	9.320586216895132e-51	9.306993942000699e-6	9.306993942000696e-6
0	1.8433156024548876e-52	8.488560291561616e-6	8.488560291561616e-6
0	3.648398236342996e-54	7.74864672955568e-6	7.748646729555678e-6
0	7.226501061887112e-56	7.0788209814439305e-6	7.0788209814439305e-6
0	1.4323745563702457e-57	6.471687566837957e-6	6.471687566837958e-6
0.000125	2.8409861619817093e-59	5.920740085948903e-6	5.920740085948903e-6
