Plasmid_77	Plasmid_77_noise	Plasmid_77_expression	Plasmid_77_mixture
0.9988241582041689	0.9988167867917108	7.6835148227109e-6	0.9988244703065335
0.0005344735435595938	0.0002492835613715822	1.7116309966524002e-5	0.00026639987133810617
0	3.0841291944411556e-6	2.6201985260187518e-5	2.9286114454628674e-5
0.00010689470871191876	3.302185419278241e-8	3.402467743987592e-5	3.4057699294068706e-5
0	3.256299186743351e-10	4.023162138814104e-5	4.023194701805971e-5
0	3.0462328591827267e-12	4.4767708937657114e-5	4.476771198388998e-5
0.00010689470871191876	2.7485928569925406e-14	4.773579910828722e-5	4.773579913577315e-5
0	2.41662264285716e-16	4.931690409953502e-5	4.931690409977668e-5
0	2.0844572171864675e-18	4.972322033734194e-5	4.9723220337344024e-5
0	1.772128504461914e-20	4.917057151848957e-5	4.917057151848959e-5
0	1.4899494245911341e-22	4.786277618075599e-5	4.786277618075599e-5
0	1.2419115120313096e-24	4.598346136105108e-5	4.598346136105108e-5
0	1.0281360362627537e-26	4.369252524699763e-5	4.369252524699763e-5
0.00010689470871191876	8.465530664693592e-29	4.112545690758259e-5	4.112545690758259e-5
0.00021378941742383753	6.940015393625886e-31	3.839435044017463e-5	3.839435044017463e-5
0	5.6691812435907784e-33	3.55898571373189e-5	3.55898571373189e-5
0	4.617458758031653e-35	3.278358683707854e-5	3.278358683707854e-5
0	3.7515868183891195e-37	3.0030647866267506e-5	3.0030647866267506e-5
0	3.0416887531924103e-39	2.7372134282327504e-5	2.7372134282327504e-5
0	2.46163682829006e-41	2.4837448838792165e-5	2.4837448838792165e-5
0	1.9890056561680053e-43	2.2446402953146966e-5	2.2446402953146966e-5
0	1.604806548210707e-45	2.021106946435714e-5	2.021106946435714e-5
0.00010689470871191876	1.2931216252836151e-47	1.8137385929778202e-5	1.8137385929778202e-5
