Plasmid_4	Plasmid_4_contaminant	Plasmid_4_expression	Plasmid_4_mixture
0.9849988460650819	0.9822163611867232	0.002789368958946452	0.9850057301456696
0.005077313639510732	0.0015698469954989365	0.002522360819993925	0.004092207815492862
0.0024232633279483036	1.0519066098790397e-5	0.0021247571916978313	0.0021352762577966215
0.0009231479344564967	6.884329241088164e-8	0.0017468614226685086	0.0017469302659609194
0.0013847219016847449	4.447432277286683e-10	0.0014185486248973333	0.0014185490696405612
0.001269328409877683	2.847977182023813e-12	0.0011433571210130561	0.0011433571238610334
0.0013847219016847449	1.811571749967106e-14	0.0009169407743132239	0.0009169407743313396
0.0005769674590353104	1.1460482880122813e-16	0.0007327204821495275	0.000732720482149642
0	7.216578626795374e-19	0.0005839290447791095	0.0005839290447791104
0.0003461804754211862	4.525769655740379e-21	0.00046437152630823407	0.00046437152630823407
0.00046157396722824835	2.827983153551849e-23	0.0003686691109069033	0.0003686691109069033
0.00023078698361412417	1.761308396132192e-25	0.0002922847852982583	0.0002922847852982582
0.00011539349180706209	1.0936837315845584e-27	0.00023145876131916988	0.00023145876131916985
0.00011539349180706209	6.772507867533689e-30	0.00018311157462838165	0.00018311157462838162
0	4.1830913145029525e-32	0.0001447415287731232	0.00014474152877312326
0.00011539349180706209	2.577580022370186e-34	0.00011432839348774974	0.00011432839348774973
0	1.5847526831126274e-36	9.024808649622753e-5	9.024808649622753e-5
0	9.723110652916216e-39	7.119956022842616e-5	7.119956022842618e-5
0	5.953835556645534e-41	5.6143449438015464e-5	5.614344943801547e-5
0.00011539349180706209	3.6390197092002606e-43	4.425131217223417e-5	4.425131217223416e-5
0.00011539349180706209	2.220298842043771e-45	3.486405470632485e-5	3.486405470632484e-5
0	1.3524381896801638e-47	2.745812978533527e-5	2.7458129785335264e-5
0	8.2250481715811845e-50	2.161820880931116e-5	2.1618208809311153e-5
0	4.994678541444877e-52	1.7015184543715906e-5	1.7015184543715903e-5
0	3.0286917192601923e-54	1.3388526164534024e-5	1.3388526164534024e-5
0.00011539349180706209	1.8340409866370524e-56	1.053216538494728e-5	1.0532165384947275e-5
0.00011539349180706209	1.109162908060059e-58	8.28323321808159e-6	8.283233218081593e-6
0	6.699431972648979e-61	6.513089017652738e-6	6.513089017652738e-6
0	4.041655406244365e-63	5.120186951154374e-6	5.1201869511543755e-6
0	2.43545453441669e-65	4.024411471362463e-6	4.024411471362463e-6
0	1.4659515465770484e-67	3.1625846787829826e-6	3.1625846787829817e-6
0.00011539349180706209	8.814469889829163e-70	2.4849068482512943e-6	2.4849068482512956e-6
