pBB_AA_1176_ETS1	pBB_AA_1179_DLX1	pBB_AA_1186_ETS1	pBB_AA_1188_BPTF	pBB_AA_1192_FOXP1	pBB_AA_1208_GFI1	pBB_AA_1213_RUNX3	pBB_AA_1214_RUNX2	pBB_AA_1225_FLI1	pBB_AA_1230_ZNF699	pBB_AA_1247_KLF1	pBB_AA_1249_ERG	pBB_AA_1251_TBX19	pBB_AA_1264_ATF6B	pBB_AA_1274_RUNX1	pBB_AA_1276_CENPB	pBB_AA_1283_NFIX	pBB_AA_1286_SOX13	pBB_AA_1296_IRF8	pBB_AA_1297_SPI1	pBB_AA_1306_CEBPB	pBB_AA_1316_FLuc_1	pBB_AA_1317_FLuc_2	pBB_AA_1318_FLuc_3	pBB_AA_1319_FLuc_4
27182	27278	27012	27828	27804	25097	27620	27698	27769	27827	25243	27801	27108	25853	27582	27758	26281	27346	19313	27472	23064	24844	24190	24095	23698
587	519	729	4	28	2470	206	119	60	5	2185	30	673	1828	238	71	1382	450	7214	318	4252	2710	3297	3335	3552
30	19	58	0	0	137	1	7	2	0	262	1	26	108	7	3	94	21	773	18	339	189	229	257	356
12	7	16	0	0	43	3	4	1	0	73	0	7	16	1	0	41	5	229	7	80	41	50	61	108
7	4	9	0	0	20	0	1	0	0	32	0	3	12	3	0	8	4	110	3	25	12	20	32	37
2	2	4	0	0	10	1	0	0	0	12	0	5	5	0	0	6	3	43	1	9	9	10	15	21
3	0	2	0	0	8	1	1	0	0	8	0	0	1	1	0	5	1	36	3	10	4	6	6	12
3	2	1	0	0	5	0	1	0	0	4	0	0	1	0	0	4	0	27	2	7	5	5	4	8
2	0	0	0	0	3	0	0	0	0	2	0	1	0	0	0	3	0	15	2	5	1	6	6	10
2	0	0	0	0	6	0	0	0	0	4	0	2	2	0	0	3	0	9	0	1	1	2	1	6
0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	12	1	4	3	3	6	10
1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	9	1	2	0	2	1	2
1	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	3	1	2	2	3	1	3
0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	4	0	3	0	1	2	1
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	1	2	0	1	0
